Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.36126122	1.6471953	7.672109	-1.5765496	12.07	10.890596	50.0	0.0	150.0	2414.0	0.08046666666666667	1.1390795	0.21638632	1.8723673	-0.56764364	-0.5605859	0.11117248	0.41791284	-0.9203181	-1.4241537e-08	-0.00091104023	-5.6966147e-08	-0.01581958	0.7877835	-0.46164897	37.493896	-21.792667	1.1937271	0.0	0.004422076	-0.36805487	0.0738	0.0045889723	0.0015304986	0.014035231	0.0	1.1937271	0.0	0.0	0.0	1.837877	0.008284777	30000	146.8770935535431
1	0.49615183	1.8834113	11.103685	-1.6701392	11.14	10.521426	43.0	0.0	150.0	4642.0	0.07736666666666667	0.6951483	0.46328977	2.3951786	-1.3003919	3.6618052	2.2519848	12.251362	-2.335833	2.0345052e-09	0.00016977539	4.0690105e-09	-0.015293101	0.43774888	-0.063260466	16.599653	-4.0735464	1.1655296	0.0	0.0044777356	-0.29039186	0.067600004	0.0044904044	-0.00043187413	0.014722551	0.0	1.1655296	0.0	0.0	0.0	1.8425035	0.008533448	60000	286.84908175468445
2	0.68006945	2.4140048	14.474013	-1.559711	10.33	9.856525	40.0	0.0	150.0	6708.0	0.07453333333333333	0.5046883	0.5176495	2.5337875	-1.1228389	5.408344	2.952733	12.840946	-2.2824357	-1.0172526e-08	0.00017706503	1.6276042e-08	-0.017562605	0.53458804	-0.055210948	11.0932	-0.92259216	1.0144494	0.0	0.0049026203	-0.17907271	0.0622	0.004912697	0.00044252395	0.019434307	0.0	1.0144494	0.0	0.0	0.0	1.8352816	0.008091608	90000	435.48122477531433
3	0.44610846	2.1005704	21.596828	-1.3092456	11.205	11.060876	47.0	0.0	150.0	8949.0	0.074575	0.43010035	0.6361663	3.4794197	-0.712492	5.8663526	3.2565722	14.5001335	-3.9272456	-1.0681152e-08	0.002690952	-1.6276042e-08	-0.017259154	0.44950727	-0.019766033	13.090639	-1.0926399	1.0509269	0.0	0.0036993993	-0.23559876	0.06803333	0.003965992	-0.0021971848	0.018108595	0.0	1.0509269	0.0	0.0	0.0	1.8258046	0.008024681	120000	577.9661891460419
4	0.56580824	1.9590704	10.198072	-1.3631825	9.79	9.1085615	42.0	0.0	150.0	10907.0	0.07271333333333334	0.32368046	0.58227247	2.8927498	-0.9685206	5.8402176	3.7543228	16.791498	-2.4671152	-1.0172526e-09	-0.00041659342	1.2207031e-08	-0.016186908	0.29528317	-0.009918779	8.978697	-0.51459026	1.2202319	0.0	0.004560666	-0.23565264	0.0586	0.0045873844	0.00059906906	0.013432132	0.0	1.2202319	0.0	0.0	0.0	1.8177516	0.009115673	150000	720.8634700775146
5	0.5524008	1.8493878	8.7941065	-1.4345542	10.135	9.06845	39.0	0.0	150.0	12934.0	0.07185555555555556	0.30846736	0.5980466	2.8051531	-0.8938727	6.727118	3.4967115	15.662876	-3.5439866	-7.1207684e-09	0.00054737955	9.155274e-09	-0.015776291	0.31095275	-0.013654619	9.836882	-0.47233772	1.2123046	0.0	0.0047328346	-0.2525389	0.060900003	0.0047965967	-0.0009315029	0.013608371	0.0	1.2123046	0.0	0.0	0.0	1.8204644	0.008141324	180000	864.2604141235352
6	0.14381598	1.3146988	6.641666	-1.7531275	10.46	10.666227	58.0	0.0	150.0	15026.0	0.07155238095238095	0.22753382	0.5643492	2.6417456	-0.8581579	5.975974	3.298158	15.069869	-2.588007	-1.0172526e-08	-0.00030192462	3.2552084e-08	-0.013409727	0.18514736	-0.022590846	11.807989	-0.82454395	1.4216344	0.0	0.0040120087	-0.38192597	0.06306667	0.0040138084	0.0001334509	0.009895863	0.0	1.4216344	0.0	0.0	0.0	1.8287354	0.007931354	210000	1002.2931945323944
7	0.44794533	2.1799147	12.215324	-2.2309058	9.51	9.628598	51.0	0.0	150.0	16928.0	0.07053333333333334	0.18631141	0.5211368	2.1258087	-0.9224532	6.5005145	3.827022	17.095652	-3.6189258	-7.1207684e-09	0.0003657776	-2.8483074e-08	-0.017925542	0.47824407	-0.03920412	10.890005	-0.47097015	1.1571398	0.0	0.004025181	-0.19548577	0.056733336	0.0040428466	-0.00051368104	0.014936816	0.0	1.1571398	0.0	0.0	0.0	1.8215315	0.009174758	240000	1139.0174355506897
8	0.387197	1.9087472	10.181376	-1.7009106	9.01	9.65401	40.0	0.0	150.0	18730.0	0.06937037037037037	0.21310005	0.6352942	2.8606846	-0.88049996	5.953504	3.4874876	16.499182	-3.4548903	3.0517577e-09	-0.00023383637	-3.2552084e-08	-0.014902291	0.30314314	-0.024919063	10.467982	-0.42971516	1.3595157	0.0	0.004245004	-0.24352475	0.053400002	0.0042545805	0.00032190335	0.010820844	0.0	1.3595157	0.0	0.0	0.0	1.8313503	0.008726915	270000	1279.22199010849
9	0.50117785	2.5500941	17.631285	-1.6448294	9.225	9.861257	46.0	0.0	150.0	20575.0	0.06858333333333333	0.15482152	0.56862813	2.630973	-0.96280056	5.512574	3.4955313	17.486866	-3.2615223	-4.0690105e-09	0.0009557658	1.6276042e-08	-0.017915854	0.71140814	-0.074468315	10.833861	-0.64360046	1.1277921	0.0	0.0039135097	-0.17121315	0.054833338	0.0039261975	-0.00044666318	0.015724309	0.0	1.1277921	0.0	0.0	0.0	1.8329897	0.00877892	300000	1422.6089284420013
