Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.62120545	1.1918	2.2534213	-4.456754	8.88	12.820515	74.0	0.0	150.0	1776.0	0.0592	-0.43908978	0.14860749	0.78076524	-1.8232592	-0.024032297	0.16815865	0.6345694	-0.6648488	8.138021e-09	0.04709787	1.0172526e-07	0.011066004	0.47790378	-0.12027007	41.814312	-14.4279	0	0	1.0	1.837877	0.081720166	30000	134.43421530723572
1	-0.41508156	0.985924	2.263355	-2.575726	8.94	13.897353	61.0	0.0	150.0	3564.0	0.0594	-0.26622295	0.31124496	0.74902123	-1.7690747	3.5096195	2.210129	10.454301	-2.019055	-1.2207031e-08	0.051332824	-8.138021e-09	0.008131605	0.3826766	-0.1955484	40.78331	-8.286499	0	0	1.0	1.8383231	0.093695365	60000	359.9728138446808
2	-0.53207487	1.2302564	3.2651088	-4.4631324	11.31	16.27126	90.0	0.0	150.0	5826.0	0.06473333333333334	-0.32655153	0.27978733	0.5590342	-1.5542299	4.816044	3.468188	14.939609	-2.550355	-6.1035155e-09	-0.00392276	2.4414062e-08	0.006912744	0.38337904	-0.09522867	56.267666	-9.559231	0	0	1.0	1.8391013	0.0058174203	90000	589.4119875431061
3	-0.017220972	1.164832	3.5270975	-2.9748936	11.245	13.998393	68.0	0.0	150.0	8075.0	0.06729166666666667	-0.3406557	0.23283532	0.5143455	-1.2995142	6.43092	3.6424325	16.118782	-1.590999	-5.5948894e-09	-0.014771982	-3.2552084e-08	0.012599646	0.35167724	-0.060999632	42.884632	-4.241707	0	0	79.0	1.8396775	0.008844582	120000	812.1537079811096
4	0.6042703	1.3057153	5.5301337	-2.5658996	13.51	17.819649	91.0	0.0	150.0	10777.0	0.07184666666666667	-0.2088753	0.23248313	0.7139073	-0.95381135	7.766208	3.3482802	17.330612	-1.4643734	-1.6276042e-08	0.0020448975	-1.6276042e-08	0.0070209554	0.44373822	-0.11772832	62.636616	-8.646648	0	0	4.0	1.8166881	0.011409945	150000	1036.6431369781494
5	0.5983528	1.2042009	5.7709475	-1.7781398	12.275	17.00645	101.0	0.0	150.0	13232.0	0.07351111111111111	0.043505605	0.28154388	1.4430941	-0.66037357	8.664423	3.764161	19.51684	-2.1331787	-9.155274e-09	-0.0032430817	2.4414062e-08	0.0058665774	0.32694608	-0.05027163	57.85397	-6.911827	0	0	1.0	1.8153815	0.0036231491	180000	1253.6446776390076
6	0.6986611	1.4254916	6.948076	-1.9409033	16.025	20.999866	123.0	0.0	150.0	16437.0	0.07827142857142858	0.23024155	0.36176413	1.8618269	-0.5309042	9.132657	3.363314	21.910526	-3.0386534	-8.138021e-09	-0.0019525889	-3.2552084e-08	0.0008956136	0.39414966	-0.054398894	81.63916	-14.717659	0	0	1.0	1.8147705	0.0017804158	210000	1477.7610046863556
7	0.7679676	1.3376136	6.326673	-1.3872721	13.01	15.492898	72.0	0.0	150.0	19039.0	0.07932916666666667	0.28729057	0.33272156	2.0949717	-0.5106963	10.611213	4.357898	26.5183	-6.8512826	6.866455e-09	-0.003501077	8.138021e-09	-0.00019435628	0.327817	-0.03887552	49.662373	-10.074192	0	0	1.0	1.8142986	0.0034628422	240000	1692.0241794586182
8	1.0592777	1.4510053	7.333088	-1.6508921	15.845	18.537016	73.0	0.0	150.0	22208.0	0.08225185185185185	0.34766164	0.36155653	2.507021	-0.53705597	10.246113	3.9743593	25.556086	-4.8037467	1.525879e-08	-0.012646063	-2.8483074e-08	-0.0021220662	0.39426392	-0.054326802	63.88425	-13.5487175	0	0	79.0	1.8138964	0.0073007965	270000	1898.8069660663605
9	1.5119771	1.6619558	7.431686	-1.1301224	15.38	18.418077	97.0	0.0	150.0	25284.0	0.08428	0.41451758	0.373345	2.0969796	-0.2962548	10.975302	4.3926616	29.500694	-2.5753732	-2.8483074e-08	-0.011713867	-4.0690104e-08	0.0019980387	0.5144272	-0.116146594	69.34049	-14.823917	0	0	79.0	1.7817905	0.0069879615	300000	2136.058960914612
