Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.28409013	2.4017239	3.3405156	-4.7500863	25.3	20.474617	66.0	0.0	400.0	253.0	0.06325	-0.4179483	0.14340624	0.5035928	-1.410448	-0.0272967	0.16648844	0.49646723	-0.5021277	1.3619661e-08	0.02866751	2.6881695e-08	-0.07819516	0.93725705	-0.522593	80.25873	-44.651894	0.99999994	0.03203672	1.0	1.837877	0.21895538	4000	33.25059771537781
1	-4.1274614	3.8863902	3.618569	-9.919471	7.5	8.868484	26.0	0.0	400.0	328.0	0.041	-0.13890477	0.53470135	1.4046667	-2.6758447	3.075607	3.4522374	17.115162	-3.9006052	-1.011574e-08	0.03532961	-2.7656554e-08	-0.10025263	2.2551816	-0.62191594	11.914129	-7.683648	1.0320367	0.02748382	1.0	1.8390187	0.28773484	8000	63.366105794906616
2	-4.8640456	3.3273304	-0.17565854	-10.589104	8.5	6.974955	21.0	0.0	400.0	413.0	0.034416666666666665	-0.89703393	0.6065774	0.8503417	-2.855098	1.7144773	1.5931541	10.199717	-1.7205333	3.9345425e-09	0.0007081711	3.6001204e-08	-0.004896306	1.9332485	-0.7989682	8.35775	-4.020811	1.0595205	0.026712298	1.0	1.8399096	0.02168559	12000	93.53074598312378
3	-2.340855	3.7347965	3.0214014	-9.351529	15.0	30.268797	99.0	0.0	400.0	563.0	0.0351875	-1.3425134	0.8282711	1.5828923	-4.691749	2.1039162	2.4463077	10.5297575	-2.9066265	2.2694886e-08	-0.010246045	8.59499e-08	-0.020115996	1.7155043	-1.2756159	64.720924	-47.53952	1.0862328	0.028977156	4.0	1.8405957	0.00805275	16000	123.38993096351624
4	-2.6117887	1.9011397	-0.0027196673	-7.53345	2.9	6.1392183	19.0	0.0	400.0	592.0	0.0296	-0.63609254	0.83600193	2.7738278	-1.9795383	2.9100146	4.9850035	27.22855	-10.921009	1.2908123e-08	-0.0077173645	2.6941299e-08	-0.02795949	0.97016394	-0.62045014	24.873058	-21.644835	1.1152099	0.025775313	2.0	1.8409481	0.010139439	20000	152.86949801445007
5	-4.1296625	1.7297052	-1.6511772	-7.4554715	1.0	1.5491934	4.0	0.0	400.0	602.0	0.025083333333333332	-0.7972948	0.36219835	0.35695636	-1.7117299	0.35615936	0.6797107	8.773244	-9.100943	2.547644e-08	-0.00080247415	-7.987023e-09	0.0010179377	0.5916538	-0.37946177	0.601515	-0.40232494	1.1409853	0.022410989	1.0	1.841128	0.02837869	24000	183.82539105415344
6	-3.9480274	2.193188	-0.8057778	-7.0822406	12.5	18.959167	62.0	0.0	400.0	727.0	0.025964285714285714	-0.9415161	0.4240919	-0.12024143	-2.660028	0.23639426	0.44037235	7.2436337	-2.219158	-7.527139e-08	-0.0050039734	-1.5431642e-07	-0.009164055	0.8693761	-0.4591017	40.37778	-22.413012	1.1633962	0.024811149	2.0	1.8412044	0.020500751	28000	215.06079649925232
7	-3.8776717	1.2548203	-2.172171	-6.3367033	3.5	5.748913	18.0	0.0	400.0	762.0	0.0238125	-0.6366625	0.3713357	1.2951187	-2.0295606	1.2674367	2.1874423	11.936004	-0.46847814	-3.9787484e-09	-0.004414867	-5.722046e-09	0.0010924911	0.8319398	-0.48021284	4.3680825	-3.7883873	1.1882074	0.023367167	2.0	1.8411238	0.011195244	32000	246.1842324733734
8	-2.1385448	1.6741644	1.4642643	-4.5118966	4.1	5.906776	20.0	0.0	400.0	803.0	0.022305555555555554	-1.0532143	0.6314738	0.2421478	-3.5300736	0.69331414	1.150087	11.113893	-1.1944319	1.0979126e-08	-0.003321153	-2.3841858e-08	-0.0036268234	0.7202618	-0.46417058	2.8583093	-2.1127315	1.2115746	0.022508264	3.0	1.8411181	0.016738227	36000	276.9639859199524
9	-6.0325365	3.6435413	-0.7614895	-11.511305	0.0	0.0	0.0	0.0	400.0	803.0	0.020075	-0.39588168	0.30253208	0.49288067	-1.9337637	0.24944204	0.61396635	12.744037	-6.065498	-1.0767905e-08	-0.0023816964	-5.2452087e-09	-0.00029070844	1.8193386	-1.1587119	0.42450878	-0.3961985	1.2340828	0.019684315	2.0	1.8410604	0.010468068	40000	308.6881003379822
