Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-6.559303	4.8870635	4.476932	-18.677954	2.635	4.085557	23.0	0.0	150.0	527.0	0.017566666666666668	-0.076483935	0.23442687	0.8720045	-1.0719084	-0.3226209	0.08792511	0.43021488	-0.73498815	1.0172526e-09	-0.015844904	-1.0172526e-09	0.0014503357	12.298358	-5.0458903	3.6485465	-1.4545171	0	0	1.2236913	0.0	1.837877	0.009156747	30000	235.77886939048767
1	-3.6388135	3.2834609	7.5938187	-16.299492	3.72	5.4167886	43.0	0.0	150.0	1271.0	0.021183333333333332	-1.9301262	1.5502877	1.4438225	-8.184366	0.52599436	1.0377735	6.450473	-1.6348667	-2.0345052e-09	-0.015121401	-1.2207031e-08	0.006076965	3.86459	-0.7635603	4.4336333	-0.6438749	0	0	1.2970555	0.0	1.8414074	0.0090745445	60000	466.00680899620056
2	-2.0211332	2.7878456	6.2515407	-11.466806	6.66	6.748659	39.0	0.0	150.0	2603.0	0.02892222222222222	-1.792949	1.1094294	0.06439835	-5.1982536	1.5661343	1.7880341	10.756505	-1.6586472	-1.780192e-08	-0.014595477	-3.4586588e-08	0.009124422	2.5738685	-0.69443524	11.429914	-1.9933224	0	0	1.3132695	0.0	1.8493657	0.008822455	90000	700.4626276493073
3	0.25022644	3.0607865	9.434328	-9.7660885	7.72	7.047808	35.0	0.0	150.0	4147.0	0.03455833333333334	-1.2197589	0.8769884	0.89072526	-4.659279	3.172393	1.9066825	10.579292	-0.89853543	1.6276042e-08	-0.017784186	-3.967285e-08	0.013380544	3.13585	-1.2455945	11.334946	-1.661233	0	0	1.0870163	0.0	1.8348165	0.008316874	120000	936.4723632335663
4	2.0406528	2.833474	9.677597	-4.9752736	10.59	8.533574	50.0	0.0	150.0	6265.0	0.04176666666666667	-0.22555476	0.80809754	2.0717225	-3.1680834	4.7190146	1.7934539	11.011382	0.31665474	-4.5776368e-08	-0.014463591	-8.138021e-09	0.010139331	3.2933707	-1.4102348	16.723873	-3.083808	0	0	1.1488156	1.0	1.8218584	0.0065156934	150000	1169.8089408874512
5	4.053532	3.3639596	16.089626	-4.1839237	11.645	8.485221	36.0	0.0	150.0	8594.0	0.047744444444444444	0.97923255	0.9049428	3.1057007	-2.4377222	6.7532754	1.9284675	14.015137	-0.23372507	-1.6276042e-08	-0.015791917	2.4414062e-08	0.0042999513	4.095321	-1.6007571	15.625573	-1.171814	0	0	1.1019325	1.0	1.7956536	0.006772196	180000	1409.0423097610474
6	5.806593	3.833251	16.869213	-3.3476865	11.275	7.222837	32.0	0.0	150.0	10849.0	0.05166190476190476	2.2613847	0.92616034	4.1497526	-1.6587044	7.7352448	1.7059277	15.160986	1.4323205	3.86556e-08	-0.016399559	4.0690105e-09	0.0074877236	4.583345	-1.7655973	11.98665	-0.68406296	0	0	1.2455509	0.0	1.7744133	0.009437312	210000	1627.54554271698
7	7.431392	3.7913773	16.955406	-2.698581	14.13	7.766151	42.0	0.0	150.0	13675.0	0.056979166666666664	3.593227	0.9209611	5.2308493	-1.5154251	8.452805	1.5528975	14.714661	3.2634728	-2.492269e-08	-0.01619881	-8.138021e-09	0.0014326253	3.9606457	-1.2653067	14.218185	-1.1796608	0	0	1.2390592	0.0	1.7314262	0.00950742	240000	1878.854906320572
8	9.521279	3.6778576	19.468904	1.7352198	13.135	7.0581	35.0	1.0	150.0	16302.0	0.06037777777777778	4.7750535	0.89884096	6.5029154	0.72647625	9.343755	1.3668501	15.302829	3.8695567	1.525879e-08	-0.014684997	-2.0345052e-09	0.007284721	4.2557077	-1.6605499	11.621787	-0.4015417	0	0	1.438247	0.0	1.6790874	0.009784606	270000	2103.6839842796326
9	10.739878	3.5455098	21.033997	-2.0418262	14.6	8.094442	46.0	0.0	150.0	19222.0	0.06407333333333333	6.0287514	0.8227344	7.5534334	1.8017746	9.614694	1.3167623	15.757504	4.932408	-4.679362e-08	-0.012611329	0.0	0.007660441	3.6438274	-1.1238465	13.73749	-0.80939007	0	0	1.6043764	0.0	1.6276221	0.00965611	300000	2335.3160173892975
