Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.19538489	1.4158812	12.421368	-1.3771566	13.12	11.098451	46.0	0.0	150.0	2624.0	0.08746666666666666	1.1308827	0.21610168	1.843637	-0.44045737	-0.5537032	0.10907839	0.46447375	-0.96168244	0.0	0.00095995684	2.4414062e-08	-0.015238102	0.79161346	-0.4474259	41.584126	-25.133781	1.2121129	0.0	0.0038071042	-0.38372305	0.07413333	0.0038338972	-0.000603923	0.0136126755	0.0	1.2121129	0.0	0.0	0.0	1.837877	0.0077816094	30000	178.3535919189453
1	0.317005	1.4747765	6.7526784	-1.33873	11.94	11.462391	43.0	0.0	150.0	5012.0	0.08353333333333333	0.6423709	0.4347277	2.5760212	-1.4086249	3.743523	2.605204	12.5657625	-2.9099007	-4.4759116e-08	0.0010687164	4.0690105e-09	-0.01433033	0.29995885	-0.08668454	19.71994	-5.1609898	1.1055768	0.0	0.0030579828	-0.24837264	0.06626666	0.0030591504	-0.00013822991	0.016362587	0.0	1.1055768	0.0	0.0	0.0	1.8367481	0.007258366	60000	358.6115663051605
2	0.22844544	1.2372864	7.6675096	-1.5817355	12.55	11.162325	48.0	0.0	150.0	7522.0	0.08357777777777778	0.41675508	0.49495503	2.7664905	-1.0490255	6.065639	3.0021946	13.433791	-2.3199537	-1.0172526e-08	-0.00036998594	-5.493164e-08	-0.01369152	0.19350997	-0.026820317	14.366735	-1.3014679	1.2733418	0.0	0.004717261	-0.38103548	0.07033333	0.004721746	0.00023519853	0.012335014	0.0	1.2733418	0.0	0.0	0.0	1.8371655	0.007644784	90000	540.3459696769714
3	0.17174225	1.2204765	7.072182	-1.5064487	12.34	10.751948	60.0	0.0	150.0	9990.0	0.08325	0.2604867	0.4284583	2.0740666	-0.99366987	6.627378	3.4168184	15.413908	-2.6100702	0.0	0.0021762727	-3.051758e-08	-0.017890168	0.17717865	-0.008539379	13.71815	-0.7483721	1.0748775	0.0	0.0055829473	-0.25450277	0.06893334	0.005731166	-0.0016017968	0.017310588	0.0	1.0748775	0.0	0.0	0.0	1.8418528	0.007746476	120000	717.3304104804993
4	0.22893478	1.2232354	5.121476	-2.2619367	11.185	11.731614	53.0	0.0	150.0	12227.0	0.08151333333333333	0.19621061	0.43632856	2.3318336	-0.9424281	6.6304884	3.7860715	16.070627	-2.2391021	7.1207684e-09	-0.00032862855	2.9500326e-08	-0.019526336	0.14596859	-0.0073771477	13.767665	-0.49182224	0.9484902	0.0	0.0036687602	-0.14865987	0.061233338	0.0036860001	0.000619086	0.02223126	0.0	0.9484902	0.0	0.0	0.0	1.8343126	0.007824216	150000	891.8956165313721
5	0.18265246	1.1681145	8.859222	-1.7168847	11.865	11.550618	59.0	0.0	150.0	14600.0	0.0811111111111111	0.17929201	0.49926904	2.576703	-0.97659934	7.1833916	3.7388308	18.909924	-3.5000904	-1.6276042e-08	-0.00013534598	-2.5431316e-08	-0.017825104	0.16935368	-0.011990637	15.47945	-0.70076466	0.95753425	0.0	0.0034330522	-0.17828529	0.06576666	0.0034380485	-0.00033013197	0.021813288	0.0	0.95753425	0.0	0.0	0.0	1.8151164	0.00804972	180000	1055.0284132957458
6	0.079653	1.1676097	6.2740006	-1.5666239	12.005	10.640253	41.0	0.0	150.0	17001.0	0.08095714285714285	0.15413766	0.44728845	1.8901243	-1.0783205	7.2257686	4.0887394	18.167963	-4.130853	-7.1207684e-09	0.0025460918	-1.6276042e-08	-0.0150528485	0.13912256	-0.013224527	10.688394	-0.61856556	1.2676442	0.0	0.0041616526	-0.3374512	0.066700004	0.004401982	-0.0017295004	0.012446147	0.0	1.2676442	0.0	0.0	0.0	1.8060092	0.007576406	210000	1231.1206204891205
7	0.055609055	1.046438	4.0102596	-2.053695	12.6	11.388591	48.0	0.0	150.0	19521.0	0.0813375	0.08608558	0.44732717	1.6924853	-1.0582811	7.319222	3.937679	18.416677	-4.595583	2.0345052e-09	0.0006827311	5.086263e-10	-0.020298176	0.10372535	-0.009273693	12.982067	-0.560935	1.0279074	0.0	0.0043302574	-0.24381983	0.07066667	0.004365702	-0.000819102	0.018928744	0.0	1.0279074	0.0	0.0	0.0	1.8034028	0.009507396	240000	1403.8507084846497
8	0.022327004	1.1214025	4.7499943	-2.5909157	11.695	10.19176	49.0	0.0	150.0	21860.0	0.08096296296296296	0.067018315	0.45239758	2.0175805	-1.1099473	7.2550917	4.291154	19.019428	-5.539165	-3.8146974e-09	0.0024179074	-4.4759116e-08	-0.019849617	0.118054226	-0.008825794	12.428178	-0.7633047	1.010527	0.0	0.003597304	-0.19329426	0.06463333	0.0039690766	-0.0026983954	0.019585466	0.0	1.010527	0.0	0.0	0.0	1.835876	0.00865877	270000	1578.0557944774628
9	0.00959445	1.130396	4.819033	-2.1375277	9.875	8.351609	35.0	0.0	150.0	23835.0	0.07945	0.015748588	0.4286529	1.552049	-1.091431	6.3845787	4.0464935	18.296217	-4.669645	-2.0345052e-09	0.0024907165	4.0690105e-09	-0.016947186	0.16915882	-0.02157998	9.099663	-0.81850433	1.1875644	0.0	0.004943681	-0.17435838	0.0525	0.005328405	-0.0023357824	0.014181277	0.0	1.1875644	0.0	0.0	0.0	1.835279	0.008882017	300000	1746.7484216690063
10	-0.019690303	1.5660101	12.627072	-2.6436622	9.115	9.166339	47.0	0.0	150.0	25658.0	0.07775151515151515	0.042309854	0.47419637	2.0378706	-1.017382	5.76203	3.8609555	16.060017	-3.4438543	-8.138021e-09	0.0034570578	8.138021e-09	-0.018811127	0.23843443	-0.0242223	9.145518	-0.84310436	1.0754609	0.0	0.005980862	-0.11011481	0.04743333	0.006523505	-0.0030632142	0.017291812	0.0	1.0754609	0.0	0.0	0.0	1.8286792	0.009040181	330000	1921.8163526058197
11	-0.3910629	1.0962288	4.354804	-2.7019143	11.295	11.040742	64.0	0.0	150.0	27917.0	0.07754722222222223	0.006950667	0.49756372	2.913499	-1.1217747	5.3583155	4.1480064	19.072592	-4.9722905	1.0172526e-08	0.0061462484	-1.0681152e-08	-0.019680653	0.14757907	-0.034991525	13.01714	-0.9022474	1.074188	0.0	0.0065511107	-0.20153742	0.06196667	0.007825761	-0.0047003496	0.017332818	0.0	1.074188	0.0	0.0	0.0	1.8444109	0.009894065	360000	2108.8002529144287
12	-0.09570289	1.8368531	13.951029	-3.0449793	9.925	9.275202	36.0	0.0	150.0	29902.0	0.07667179487179487	-0.1038278	0.47952452	1.7427442	-1.3499703	4.8852572	4.160652	20.26076	-3.4847672	0.0	0.004414001	1.8310548e-08	-0.018438475	0.32598108	-0.043432117	8.903758	-0.8132477	1.0945501	0.0	0.005795731	-0.14720824	0.052833334	0.0067327563	-0.0039550755	0.016693922	0.0	1.0945501	0.0	0.0	0.0	1.8527734	0.008602259	390000	2287.8840794563293
13	-0.50102144	1.6416408	9.554043	-3.5098722	8.655	8.75077	43.0	0.0	150.0	31633.0	0.07531666666666667	-0.1295584	0.55463	2.5564258	-1.3875054	3.7558546	3.9289458	17.899664	-4.729147	-1.1189779e-08	0.004161978	8.138021e-09	-0.01681302	0.33964926	-0.045338243	8.07004	-0.72229767	1.0056782	0.0	0.008662964	-0.07954096	0.044366665	0.009337354	-0.0036518385	0.019774783	0.0	1.0056782	0.0	0.0	1.0	1.8920542	0.006196474	420000	2457.062835454941
14	-0.7076013	2.009418	9.910182	-4.071458	8.01	7.892395	34.0	0.0	150.0	33235.0	0.07385555555555555	-0.22280511	0.50483805	1.9353992	-1.4280524	3.060572	4.0924253	17.974518	-5.1361065	7.1207684e-09	0.0068052127	1.2207031e-08	-0.018947627	0.4416121	-0.062358707	6.751005	-0.73955345	1.0582551	0.0	0.006160361	-0.06989125	0.040066667	0.008202451	-0.0060389573	0.017858667	0.0	1.0582551	0.0	0.0	0.0	1.900697	0.008921422	450000	2637.9678699970245
