CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/LogPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
2	0	1500	0.84568274	22.0	300.0	0.041602723	-0.120946825	-0.12153995	0.06084561	-0.1968034	0.6339727	0.1310643	-0.7352907	1.6203003e-05	0.13107756	-1.3263579e-05	2.7253373	291.35	58.6	132.01214742660522
2	1	3000	1.899518	46.8	300.0	0.0046450254	-0.11612114	-0.116053425	0.039886273	-0.019248853	0.6339727	0.11834009	-0.79472774	2.3796196e-05	0.11835481	-1.4726556e-05	0.9177605	289.7	44.3	257.64912605285645
2	2	4440	3.2545085	48.2	288.0	0.0035339668	-0.0999968	-0.099967055	0.051752105	0.14555681	0.63397276	0.10160257	-0.8025448	3.6148216e-05	0.10161836	-1.5779515e-05	2.8935463	299.8	56.65	390.41107964515686
2	3	5940	2.523244	83.8	300.0	0.0026454397	-0.07629978	-0.076311566	0.077921145	0.39375812	0.6339727	0.076391324	-0.753851	9.7558186e-05	0.07639126	7.695425e-08	2.5475721	294.55	44.3	521.7874834537506
2	4	7440	2.8600643	53.8	300.0	0.00204593	-0.05790411	-0.057901118	0.08783678	0.59337366	0.6339727	0.056692727	-0.7245175	0.0024424596	0.056506377	0.00018634574	0.54794633	300.0	41.1	648.9075832366943
2	5	8510	3.892816	40.0	214.0	0.003032064	-0.04488616	-0.044776276	0.11284207	0.7694798	0.6339727	0.05083576	-0.6475468	0.044578157	0.044256855	0.006578906	-1.3474269	283.7	18.45	777.9614374637604
2	6	9895	3.8720298	55.4	277.0	0.0028170105	-0.034746803	-0.03485141	0.12469405	0.8329791	0.6339727	0.055485968	-0.4848901	0.12962815	0.037230715	0.01825525	3.2837868	272.3	18.6	884.8608736991882
2	7	11389	2.6729107	37.4	298.8	0.0030706748	-0.037881106	-0.037842833	0.123432554	0.85164595	0.6339727	0.068814434	-0.23102865	0.21244967	0.04698955	0.02182489	1.2498891	300.0	31.55	1024.6652903556824
2	8	12889	2.2218423	58.8	300.0	0.003344201	-0.044056166	-0.04410481	0.1265995	0.82988906	0.6339727	0.07170593	-0.00054243003	0.26406989	0.057319153	0.014386774	1.6521002	300.0	37.0	1143.1791894435883
2	9	14389	1.1484249	19.8	300.0	0.0035110503	-0.055409264	-0.05545302	0.11848674	0.7795017	0.6339727	0.06902185	0.03911644	0.27823412	0.06997714	-0.0009553015	1.1861821	300.0	27.4	1283.4523377418518
2	10	15889	1.5584384	29.0	300.0	0.0030750746	-0.058381073	-0.05838353	0.118049115	0.74729484	0.6339727	0.062272795	0.004813265	0.26260072	0.07006265	-0.007789857	1.6477032	300.0	43.0	1402.8104763031006
2	11	17389	2.252304	33.2	300.0	0.003084515	-0.057901453	-0.057881165	0.12412892	0.7547225	0.6339727	0.06630858	-0.037620116	0.24730502	0.0686776	-0.00236902	2.526607	293.4	49.7	1548.2913935184479
