Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.8068625	1.4104973	0.76630825	-3.0792112	38.1	33.410927	105.0	0.0	400.0	381.0	0.09525	-0.41922137	0.1477796	0.6529525	-1.0608776	-0.0031538182	0.16866688	0.538536	-0.5614555	-1.3828277e-08	-0.038676232	-1.001358e-08	-0.079029694	0.7992478	-0.42140016	170.68819	-100.799065	0.99999994	0.03189546	0.47640154	0.0	1.837877	0.008112738	4000	31.59266996383667
1	-0.36961666	2.368651	4.2775927	-4.6618214	38.7	24.96818	79.0	0.0	400.0	768.0	0.096	-0.16335596	0.5453486	1.3200114	-2.1043966	7.9223924	4.6297073	19.800594	-2.4058611	9.097547e-09	-0.05104875	-1.0967255e-08	-0.097523294	0.68964857	-0.29332203	78.75648	-40.083008	1.0318954	0.03248167	0.38194197	0.0	1.8217373	0.008485192	8000	61.02766489982605
2	-0.4694334	1.9370185	2.2425706	-3.3359916	25.4	22.244999	67.0	0.0	400.0	1022.0	0.08516666666666667	-0.27283928	0.46303067	1.3040487	-1.497792	8.604386	5.8637977	21.961937	-1.2773769	7.772641e-08	-0.04458741	1.592636e-07	-0.08047756	0.77149814	-0.34840176	50.77464	-29.20101	1.0643771	0.031981587	0.42223692	0.0	1.8247418	0.007339612	12000	89.52596950531006
3	-1.5201463	0.8930936	0.054301225	-2.6687343	6.8	15.058553	51.0	0.0	400.0	1090.0	0.068125	-0.11386273	0.43309155	3.9513905	-1.7274313	4.348488	3.0619493	20.180593	-7.899419	-2.7784575e-08	-0.028857486	-6.198883e-08	-0.053580135	0.5827211	-0.39808574	18.846859	-13.107149	1.0963587	0.028150916	0.5498838	0.0	1.8320856	0.006665651	16000	119.75035357475281
4	-1.0591676	1.035259	0.1361621	-3.0190895	9.9	18.419827	62.0	0.0	400.0	1189.0	0.05945	-0.023805378	0.68107414	1.575236	-2.346299	1.8053159	2.1179419	12.346663	-6.3592944	-1.6652608e-08	-0.030047351	-2.3722649e-08	-0.045371026	0.46628717	-0.26824397	18.498951	-13.550344	1.1245096	0.026436687	0.6901606	0.0	1.8250346	0.008679237	20000	149.78258633613586
5	-0.34165075	2.1507478	5.0987267	-3.0204437	10.5	7.632169	26.0	0.0	400.0	1294.0	0.05391666666666667	-0.41879568	0.5136376	0.7384067	-2.3327744	3.5257642	4.635044	20.449549	-10.540621	2.4034819e-08	-0.03402571	4.673004e-08	-0.057753343	0.7936482	-0.49996582	20.440912	-12.81325	1.1509463	0.025449395	0.5093517	0.0	1.8241569	0.006635743	24000	177.69625806808472
6	-0.86776984	3.392576	6.3132896	-4.38262	9.4	11.101351	32.0	0.0	400.0	1388.0	0.04957142857142857	-0.015825057	0.4462926	1.8505274	-2.0900846	3.2698658	2.6414058	15.873813	-3.884131	-1.6664e-08	-0.026490584	-2.861023e-09	-0.045507513	1.0887864	-0.7848867	14.208152	-7.700371	1.1763957	0.024528742	0.77788347	0.0	1.8225105	0.00984608	28000	208.4703245162964
7	-0.14013484	2.2351153	3.89012	-4.314233	15.4	33.63391	115.0	0.0	400.0	1542.0	0.0481875	-0.25644132	0.7757558	2.9001155	-2.5637856	2.1049175	2.3423817	10.74465	-2.033635	9.933529e-09	-0.051138103	2.5749207e-08	-0.096376896	0.8455278	-0.5071548	65.36071	-50.974934	1.2009244	0.025207043	0.37353015	0.0	1.8108475	0.007522289	32000	237.7382299900055
8	-0.9584001	1.9448907	2.3614097	-4.4604	5.8	7.166589	16.0	0.0	400.0	1600.0	0.044444444444444446	0.06207681	0.6694525	2.2749853	-2.1633453	1.7952636	3.8990765	26.646	-9.588966	1.7485924e-09	-0.0664426	2.6702882e-08	-0.11161465	0.6075753	-0.32486254	16.807375	-12.805662	1.2261314	0.023661852	0.3839668	0.0	1.8038355	0.00725494	36000	266.2976715564728
9	-1.4433209	2.1750085	2.0130444	-4.0457187	0.7	1.2688577	4.0	0.0	400.0	1607.0	0.040175	-0.0056767003	0.43824816	2.0282073	-2.1596522	1.0364133	1.0601026	14.341616	-2.9637315	-5.8757688e-09	-0.015300725	9.3579295e-09	-0.010178912	0.4479995	-0.27972576	1.8740207	-1.5354686	1.2497933	0.02092576	1.217488	0.0	1.8304198	0.0066188793	40000	297.09821105003357
10	-0.24172263	4.6292434	7.1998835	-5.510624	6.3	16.037767	54.0	0.0	400.0	1670.0	0.037954545454545456	-0.0011299362	0.73495156	3.0163555	-3.474952	0.29960307	0.28830948	4.97416	-1.988838	-1.8303702e-08	-0.026155202	-1.525879e-08	-0.0373575	1.351091	-0.77779394	18.426254	-8.868421	1.270719	0.020104289	0.7880319	0.0	1.8242779	0.0074735167	44000	326.7930498123169
11	-0.33384264	2.062609	1.8411771	-5.0771823	7.5	12.208604	40.0	0.0	400.0	1745.0	0.03635416666666667	0.104437515	0.75020796	4.047277	-2.262285	1.3273556	1.6617895	7.5869927	-3.4530392	7.1493256e-09	-0.021917218	-7.629395e-09	-0.036855772	1.0461395	-0.69189703	8.745842	-2.9422069	1.2908233	0.019738555	0.66919947	0.0	1.8460922	0.008143818	48000	355.555939912796
12	-0.16689785	3.6539335	8.948432	-4.5987544	5.3	6.7238383	17.0	0.0	400.0	1798.0	0.034576923076923075	-0.34551716	0.65779215	2.0746913	-2.5941808	1.2265707	1.9949979	18.239391	-11.989009	2.0312198e-08	-0.02138152	1.4662743e-08	-0.028324615	1.0562341	-0.65509987	6.757288	-3.8369124	1.3105619	0.018862486	0.89117664	0.0	1.8461232	0.0073194313	52000	386.21582198143005
13	-1.5982	2.0436354	2.737958	-4.5209785	3.4	6.3906183	18.0	0.0	400.0	1832.0	0.03271428571428572	-0.15725952	0.5319565	2.622408	-2.6669688	0.3617085	0.37358645	14.870626	-4.5588775	1.748372e-08	-0.017068168	1.5974045e-08	-0.020635892	0.68344945	-0.38906968	2.596728	-0.3016832	1.3294244	0.017563105	1.0247706	0.0	1.8512582	0.0068026306	56000	415.6123514175415
14	0.23603275	2.287584	5.417401	-2.5709555	8.9	14.665947	38.0	0.0	400.0	1921.0	0.032016666666666665	-0.29038474	0.5761617	1.4000283	-1.9443676	0.43350226	0.3650024	8.224014	-1.7621583	-5.0529437e-08	-0.021049762	-6.2465666e-08	-0.028543325	0.58772194	-0.35151932	15.678158	-7.7137327	1.3469875	0.017944098	0.8884019	0.0	1.8500128	0.007582243	60000	444.89404463768005
15	0.029741501	3.4952796	7.2507515	-5.2239547	5.6	9.013324	27.0	0.0	400.0	1977.0	0.030890625	-0.21376789	0.57917637	2.0542226	-2.0109332	1.9390193	2.7282116	9.845443	-4.010079	-3.8893425e-08	-0.03236451	-5.8174134e-08	-0.04434534	0.89242655	-0.67316455	13.449633	-7.8125277	1.3649316	0.01741612	0.6556217	0.0	1.8505964	0.007435464	64000	474.8896152973175
16	0.21325262	2.4165423	4.860416	-2.722854	6.0	8.56738	27.0	0.0	400.0	2037.0	0.029955882352941176	0.19713299	0.8375554	3.1824267	-1.3192382	0.8474801	0.93146676	10.231693	-1.8078004	4.1966204e-09	-0.015837349	-1.1324882e-09	-0.019008525	0.89626926	-0.6632359	7.1701274	-3.636429	1.3823477	0.017077565	1.261706	0.0	1.845519	0.0076170512	68000	504.3146150112152
17	-0.75005215	1.9883342	4.0605793	-2.9640076	2.7	4.7549973	15.0	0.0	400.0	2064.0	0.028666666666666667	0.04042881	0.6029377	1.5514411	-1.2839825	0.54457116	1.2765881	12.100533	-4.0113688	-4.2818264e-09	-0.016518721	-3.3378602e-09	-0.021349411	0.642732	-0.4169229	2.068129	-1.1351299	1.3994253	0.015807748	1.1700467	0.0	1.8435415	0.0071822642	72000	532.479168176651
18	-0.64766616	2.180329	3.2698147	-4.665278	5.4	8.212186	21.0	0.0	400.0	2118.0	0.02786842105263158	-0.07754546	0.69185466	2.245805	-2.5360146	1.0269723	1.2239652	11.314108	-1.5040021	-2.3753083e-08	-0.02199392	-3.4809112e-08	-0.034171365	0.8034171	-0.45998883	4.1464767	-1.7807882	1.415233	0.015481591	0.933609	0.0	1.86958	0.008311876	76000	563.420405626297
19	0.0099015115	1.0946593	1.9068111	-1.6306009	7.3	12.264175	38.0	0.0	400.0	2191.0	0.0273875	-0.034753144	0.72503644	2.9792082	-1.9271102	0.7924637	1.43033	13.41581	-5.711131	-4.2503387e-08	-0.024655713	-7.6293944e-08	-0.039250523	1.0438001	-0.77578694	20.612856	-6.53234	1.4307146	0.015773892	0.77582157	0.0	1.8463597	0.007902796	80000	593.0069231987
20	-0.63632566	2.1637075	3.3687174	-3.1682456	0.0	0.0	0.0	0.0	400.0	2191.0	0.026083333333333333	-0.18771091	0.4743329	1.8143989	-1.853799	1.1773511	1.6762048	6.0632024	-4.218661	-6.8188046e-09	-0.01667969	-2.2411346e-08	-0.013851353	0.82974637	-0.6226616	3.784877	-3.717577	1.4464885	0.013766885	1.2558718	0.0	1.8620865	0.009202786	84000	621.6273798942566
21	-0.51017296	2.4008174	4.896632	-3.1841652	1.9	4.78435	16.0	0.0	400.0	2210.0	0.025113636363636362	-0.17810254	0.6250889	2.2816083	-3.436377	0.08947119	0.2588807	3.074686	-7.686872	5.9567324e-09	-0.020920867	1.66893e-08	-0.018321417	0.9176001	-0.63766646	2.122629	-0.74535394	1.4602554	0.012548089	0.86907417	0.0	1.8588321	0.0086924145	88000	652.594568490982
22	0.017698895	2.0821488	3.6519542	-3.021657	0.2	0.59999996	2.0	0.0	400.0	2212.0	0.024043478260869566	0.06374345	0.62616354	2.1672852	-2.339177	0.19238456	0.38894513	8.257422	-2.1115968	-2.5128752e-09	-0.013253483	2.7418137e-09	-0.007039488	0.66273135	-0.45748746	0.23453212	-0.19238049	1.4728035	0.010863781	1.6143587	0.0	1.8554685	0.007994618	92000	682.0416197776794
23	2.3118083	4.5720215	9.697559	-3.378062	14.4	17.100878	58.0	0.0	400.0	2356.0	0.024541666666666666	0.26179978	0.55833507	1.8213584	-1.726021	0.14106844	0.2197547	2.8989253	-1.5594172	6.399393e-08	-0.029882222	1.0377169e-07	-0.047313362	1.6593859	-1.3951406	26.520079	-14.450517	1.4836673	0.013819337	0.6278144	0.0	1.875079	0.008603902	96000	710.6357209682465
24	-0.7457677	2.7655106	4.331818	-3.6662204	3.0	7.224957	24.0	0.0	400.0	2386.0	0.02386	0.11809935	0.8696181	2.9203558	-3.0812263	1.3477018	1.7963415	10.993078	-0.80996	9.810656e-09	-0.018023236	2.193451e-08	-0.027627587	1.2045068	-1.0280244	4.895771	-2.8873801	1.4974866	0.012969971	0.9531373	0.0	1.8728399	0.0063271285	100000	741.1144776344299
