Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Optim_A	Optim_B	Optim_c	Optim_q	Optim_r	Optim_s	Optim_Lam	Optim_Nu	OptimCase	Margin	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.24831644	1.3340484	2.2729805	-1.8339005	21.6	19.658077	51.0	0.0	400.0	216.0	0.054	0.7274877	0.114635065	1.1633714	0.36114004	-0.53020954	0.08208328	-0.2467395	-0.7976061	2.4318695e-08	-0.0036763833	-1.6772746e-07	-0.049112123	0.56495374	-0.3880794	64.52735	-40.718094	0.41350675	0.0	0.023692643	-0.0026751277	0.0515	0.023966216	0.0056567634	0.11696737	0.0	0.41350675	0.0	0.0	0.0	1.837877	0.00934895	4000	30.811386346817017
1	0.26378626	1.6492727	4.362828	-1.6303382	34.2	38.638844	110.0	0.0	400.0	558.0	0.06975	0.16908477	0.26637837	0.8173695	-0.54333055	4.772696	3.5299163	11.788224	-2.4295983	1.013279e-08	-5.49182e-05	-1.3113022e-07	-0.06048605	0.20480032	-0.03853613	55.7395	-21.29834	0.3258689	0.0	0.02527378	-0.016577337	0.083000004	0.025319751	-0.0029425058	0.18834068	0.0	0.3258689	0.0	0.0	0.0	1.8293371	0.0069643473	8000	56.058690786361694
2	-0.7941998	1.535095	2.0653026	-2.500711	24.1	19.143929	49.0	0.0	400.0	799.0	0.06658333333333333	0.035407074	0.26318964	0.8584547	-0.71474314	5.430842	6.079015	21.596754	-5.1740975	-6.6757204e-09	-0.0035073792	2.6226044e-08	-0.055798363	0.18464218	-0.08835832	30.696762	-9.535439	0.6534395	0.0	0.020293342	0.004834117	0.05775	0.02322062	-0.025371728	0.2199056	2.048888	0.6534395	1.0	0.0	0.0	1.8343613	0.0074038683	12000	81.68308973312378
3	0.48072505	2.3923607	4.804749	-2.0912347	7.7	11.322985	38.0	0.0	400.0	876.0	0.05475	0.049893312	0.29356986	1.2295303	-0.8034457	1.5910908	3.3976076	19.974394	-2.2631211	1.7985702e-08	-0.01891678	-1.7881393e-09	-0.017343603	0.2628247	-0.055221543	7.724583	-2.727068	0.5125206	0.0	0.02821675	0.015065688	0.01675	0.028896851	-0.0062185414	0.05685949	1.3685448	0.5125206	1.0	0.0	0.0	1.8564842	0.0074586803	16000	108.44143319129944
4	0.89746237	2.3841486	4.9672456	-1.8958626	21.5	28.48245	90.0	0.0	400.0	1091.0	0.05455	0.15073958	0.39179754	1.8867102	-0.7168636	1.981784	3.7267802	21.18983	-0.7803474	-9.149313e-09	-0.012249836	2.0086766e-08	-0.042666033	0.333053	-0.14445254	42.964577	-14.857477	0.5544011	0.0	0.03094688	0.0070119924	0.05125	0.031044789	-0.004449693	0.20222983	2.1008146	0.5544011	1.0	0.0	1.0	1.850995	0.0062474855	20000	134.1185564994812
5	0.6504568	2.7431493	6.7019916	-2.3903258	8.7	16.272984	50.0	0.0	400.0	1178.0	0.04908333333333333	0.26889744	0.60244715	2.1988857	-0.72850156	2.8103063	5.5139637	25.042135	-1.4487486	1.502037e-08	-0.017368685	-9.584427e-08	-0.019530468	0.29003778	-0.098887235	17.07846	-10.624499	0.2807921	0.0	0.020998357	0.016657557	0.01925	0.021815337	-0.009517092	0.11086574	1.1227602	0.2807921	1.0	0.0	0.0	1.859181	0.0068152123	24000	159.87330627441406
6	-0.15579383	2.0212414	3.3483605	-3.6956835	19.2	22.103394	61.0	0.0	400.0	1370.0	0.048928571428571425	0.12322688	0.60543543	2.540222	-1.1577386	2.2627804	3.2415946	16.710094	-1.2739692	-1.8119811e-08	-0.0075293183	-4.6014787e-08	-0.043177743	0.35864708	-0.17030607	20.746277	-8.227961	0.7771389	0.0	0.03027594	0.0063604238	0.045500003	0.032576464	-0.018686343	0.15178259	2.181754	0.7771389	1.0	0.0	0.0	1.8517377	0.009363561	28000	186.71125173568726
7	0.60051244	1.2313751	2.3378484	-1.3423417	15.9	12.817566	40.0	0.0	400.0	1529.0	0.04778125	0.054556184	0.37150574	1.5206043	-0.81733686	2.953237	4.687798	22.38875	-0.2819755	3.5762787e-10	-0.013981355	1.704693e-08	-0.0269558	0.22988674	-0.057349414	25.33204	-8.6777725	0.4046039	0.0	0.030502776	0.012808225	0.037249997	0.032697685	-0.020578632	0.1929374	1.5432106	0.4046039	1.0	0.0	1.0	1.8513312	0.006327234	32000	214.86060643196106
8	0.7768602	2.142673	3.8511112	-2.1623337	13.4	14.901007	43.0	0.0	400.0	1663.0	0.04619444444444445	0.13777646	0.39825156	1.4579941	-0.76368165	3.585435	2.5156667	18.929306	-0.87909317	-2.3841857e-09	-0.017024118	-4.518032e-08	-0.02976839	0.1739172	-0.050762527	11.898696	-3.7569008	0.6102992	0.0	0.030152956	0.0096634505	0.031	0.030195147	-0.0019805399	0.09297106	1.7664398	0.6102992	1.0	0.0	0.0	1.854766	0.008174852	36000	244.7782621383667
9	0.33902866	2.4553018	7.2123594	-1.9542801	15.2	16.338911	50.0	0.0	400.0	1815.0	0.045375	0.11213783	0.4378813	1.6700649	-0.8020751	2.2652946	3.1004453	14.069186	-1.4334788	3.6358834e-09	-0.013091519	-2.3961068e-08	-0.035091195	0.2803483	-0.09091599	17.708458	-4.8574247	0.76677275	0.0	0.034009364	0.008502291	0.0355	0.035561863	-0.013044824	0.109608784	2.000006	0.76677275	1.0	0.0	0.0	1.8696074	0.008041418	40000	271.0815546512604
