Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.81653404	0.74850655	0.016049441	-2.1785023	25.9	33.309006	90.0	0.0	400.0	259.0	0.06475	-0.10282982	0.13861555	0.336279	-0.4665725	-0.33095938	0.078390814	-0.04285159	-0.63441503	-1.257658e-08	0.04344597	-1.1563301e-08	-0.20659634	0.24282092	-0.08041255	105.65753	-41.907413	0.99999994	0.032038987	1.0	1.837877	1.047418	4000	24.301350116729736
1	0.6586432	1.926086	3.649027	-2.4145625	37.9	42.674232	111.0	0.0	400.0	638.0	0.07975	-0.22547707	0.17164412	0.13020743	-0.65526396	3.4178936	4.2313085	14.8764	-4.6091213	3.99968e-08	0.006808488	9.965897e-08	-0.044329356	0.8720963	-0.44402137	166.03622	-68.802505	1.0320389	0.03244233	1.0	1.8374401	0.082864754	8000	50.93804383277893
2	0.13299279	2.0607684	3.5204895	-4.3450065	27.6	30.243017	95.0	0.0	400.0	914.0	0.07616666666666666	0.02275029	0.44586766	1.387257	-1.0092705	7.0760164	7.4592614	25.370823	-5.4934063	-8.287947e-09	-0.0071763047	-1.9073487e-09	-0.037268475	0.43735057	-0.11203271	90.780136	-22.865822	1.0644813	0.032867193	2.0	1.8374524	0.035180252	12000	75.51090812683105
3	0.27469397	2.1909065	3.717633	-4.430749	20.3	26.027102	73.0	0.0	400.0	1117.0	0.0698125	0.0020496882	0.34274465	1.0550101	-0.8169529	7.6977906	5.599571	19.668255	-2.5583954	-5.1955187e-08	-0.0028349005	-8.583069e-08	-0.0063910238	0.49491435	-0.1368134	54.595108	-16.2411	1.0973485	0.032378912	1.0	1.8378973	0.00329055	16000	100.29847621917725
4	0.028410155	1.8858104	3.8865657	-2.9450572	21.7	27.542877	85.0	0.0	400.0	1334.0	0.0667	0.056048103	0.34120357	0.97110504	-0.7533131	4.9812684	3.1593971	10.682457	-1.6154219	-4.453696e-09	-0.0026220782	-1.4305114e-08	-0.00914644	0.4572256	-0.10489395	71.37488	-12.753487	1.1297274	0.03256142	1.0	1.8384221	0.011013583	20000	124.7057433128357
5	1.1108844	1.4108832	3.346117	-0.81920165	32.2	27.856058	83.0	0.0	400.0	1656.0	0.069	0.040277306	0.22796896	0.64951056	-0.54445726	8.266514	4.8075995	17.862177	-0.9637444	-4.62227e-09	-0.008726239	9.298325e-09	-0.019899283	0.38521394	-0.08720672	92.72328	-14.394745	1.1622888	0.033754945	3.0	1.8390912	0.0049877106	24000	149.3701672554016
6	-1.4207933	1.7205793	0.84012127	-5.0882187	20.2	18.24171	50.0	0.0	400.0	1858.0	0.06635714285714285	0.07246569	0.1934012	0.8180146	-0.31264243	3.890893	5.2041726	12.346856	-2.6870022	5.098469e-09	-0.0063728234	1.2874604e-08	-0.018691858	0.46780023	-0.21902184	33.399445	-4.1754475	1.1960437	0.033662796	3.0	1.840202	0.010412215	28000	174.014910697937
7	-1.6580429	1.4358544	0.8727609	-3.9009774	2.9	4.657253	12.0	0.0	400.0	1887.0	0.05896875	-0.26344627	0.16971618	0.58175266	-0.8869874	2.2318408	3.4962358	12.354898	-1.1568222	-9.011784e-10	-0.0024540767	2.2649765e-08	-0.0048155393	0.20732532	-0.055975482	11.31719	-9.539724	1.2297065	0.03049481	2.0	1.841183	0.0069899214	32000	199.80506038665771
8	-1.2853868	2.2205412	3.2300792	-4.6245255	10.6	16.107141	49.0	0.0	400.0	1993.0	0.05536111111111111	-0.42143193	0.20131597	0.24361022	-1.2624699	0.82570386	1.1020435	4.714254	-0.4682368	-1.5222872e-08	-0.0020631887	-8.761883e-09	-0.0058051003	0.33271754	-0.11450122	17.749601	-6.7085276	1.2602013	0.029572368	3.0	1.8418391	0.007074581	36000	225.0633420944214
9	-1.211324	1.1242524	0.42890504	-2.872797	5.7	9.86965	25.0	0.0	400.0	2050.0	0.05125	-0.37351373	0.27748272	0.75682527	-1.3480166	1.9105923	2.7601647	13.461966	-0.53248703	2.9368376e-08	-0.0012441204	3.2544136e-08	-0.0076548853	0.17649625	-0.06889742	7.702164	-3.5120478	1.2897737	0.027748346	1.0	1.8424457	0.016119484	40000	249.67773509025574
