Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-1.4410896	2.2929702	5.4921794	-5.889853	10.23	14.185101	60.0	0.0	300.0	1023.0	0.0341	-0.40976894	0.081334345	-0.049740627	-0.77380663	-0.0411937	0.0978471	0.3960504	-0.43730208	1.0172526e-08	-0.008077343	3.2552084e-08	0.0028151325	1.7007273	-0.6936015	30.846033	-16.252663	0	0	2.491104	0.0	1.837877	0.0077553103	30000	139.0504539012909
1	-0.8826653	2.5965297	4.272615	-7.9522376	13.26	14.66262	79.0	0.0	300.0	2349.0	0.03915	-0.3830393	0.8537323	1.5408007	-3.2363164	2.801334	3.4221053	14.59113	-2.7145336	9.155274e-09	-0.014110009	-2.2379558e-08	0.013939016	1.0285368	-0.18395829	18.045378	-3.1081924	0	0	1.4063556	0.0	1.854249	0.008900968	60000	286.09849739074707
2	1.2551459	2.6065576	6.7982135	-7.3702765	24.3	23.386963	139.0	0.0	300.0	4779.0	0.0531	-0.1690512	0.77991694	1.655607	-3.236593	5.4314413	3.7978058	16.254482	-1.9557761	-3.2552084e-08	-0.014468656	3.2552084e-08	0.0081604	1.0101789	-0.3769862	56.13342	-11.101208	0	0	1.3975346	0.0	1.8547134	0.009211682	90000	422.62874579429626
3	2.5594742	2.331489	8.964289	-2.5980237	31.12	24.080812	110.0	0.0	300.0	7891.0	0.06575833333333334	0.4752787	0.6607513	1.9847714	-2.180522	8.790065	4.205146	23.64456	-1.3547978	0.0	-0.016118204	1.6276042e-08	-0.0011622233	0.71352804	-0.14966881	64.80765	-9.861607	0	0	1.2979524	0.0	1.8566282	0.009683492	120000	568.3040008544922
4	3.804822	2.3778336	11.00182	-2.4961169	27.47	22.116716	136.0	0.0	300.0	10638.0	0.07092	0.88063145	0.60193145	2.211114	-1.6386185	10.766959	4.372039	25.142178	-2.006817	-1.780192e-08	-0.013731247	-4.0690104e-08	0.0033468995	0.70782185	-0.1727807	56.58461	-7.979828	0	0	1.512376	0.0	1.8555462	0.009159337	150000	714.1499829292297
5	4.843086	2.1247678	11.819404	-0.11589688	29.97	22.488865	99.0	0.0	300.0	13635.0	0.07575	1.2955883	0.5278145	2.554529	-0.78509945	10.437608	4.166569	27.13997	1.5035083	-1.6276042e-08	-0.012453215	2.4414062e-08	-0.0015568441	0.5702103	-0.12298319	67.52228	-6.7661858	0	0	1.5824093	0.0	1.8328931	0.008976944	180000	851.5005149841309
6	5.7058454	1.9236917	10.350448	-0.7035507	27.4	17.696327	76.0	0.0	300.0	16375.0	0.07797619047619048	1.6121926	0.51222324	2.9222462	-0.327306	10.954877	3.8099396	26.89254	-0.3563451	-1.0172526e-08	-0.012260326	6.1035155e-09	-0.0036481933	0.6022873	-0.12044451	48.123535	-4.908043	0	0	1.7129906	0.0	1.8011891	0.009547521	210000	990.0590624809265
7	6.4609413	2.1381636	11.611148	-0.2442037	28.52	17.908365	105.0	0.0	300.0	19227.0	0.0801125	1.9371165	0.42855948	3.21317	0.29575625	9.897102	3.6845825	25.613626	0.2968016	-6.1035155e-09	-0.012363332	-1.8310548e-08	-0.0035288369	0.5580081	-0.104758024	42.532276	-4.139927	0	0	1.6603686	0.0	1.7968888	0.009356171	240000	1127.6256544589996
8	7.690645	2.0959013	12.7121725	1.9538573	26.75	18.718641	88.0	0.0	300.0	21902.0	0.08111851851851852	2.231894	0.45655814	3.378146	0.19894475	10.372972	3.1240802	23.502241	2.3808105	-7.1207684e-09	-0.011755767	-1.6276042e-08	-0.0017417562	0.5774336	-0.13820267	43.40476	-5.732628	0	0	1.7362721	0.0	1.7727752	0.009413536	270000	1259.2164652347565
9	8.032007	1.8481784	12.355006	4.2292585	29.04	17.96826	86.0	0.0	300.0	24806.0	0.08268666666666667	2.5583584	0.4398616	3.6385007	1.0279387	9.634726	3.4379132	31.179432	2.9439218	-2.0345052e-08	-0.012085571	-6.9173176e-08	-0.005267936	0.45105505	-0.07551631	44.707043	-6.5404663	0	0	1.7090333	0.0	1.751818	0.0089924475	300000	1412.5472555160522
10	8.481375	1.989333	14.367527	2.1311538	24.96	17.769592	79.0	0.0	300.0	27302.0	0.08273333333333334	2.7570527	0.4394655	3.5979297	0.89807236	10.397787	3.1453493	26.509056	5.416992	-2.8483074e-08	-0.012046484	-8.138021e-09	-0.003538794	0.43980607	-0.06575069	40.707386	-4.915535	0	0	1.6694566	0.0	1.7402272	0.009492382	330000	1543.8694281578064
11	9.273858	1.6954427	13.741283	5.896	23.41	15.717567	70.0	0.0	300.0	29643.0	0.08234166666666666	2.926498	0.432908	3.863048	0.6950185	9.709712	3.152588	28.110981	4.4943175	-8.138021e-09	-0.01043611	1.6276042e-08	-0.0073045697	0.47088596	-0.104319304	31.244741	-4.7844296	0	0	1.9151402	0.0	1.698065	0.009050053	360000	1694.1713149547577
12	9.694254	1.887736	14.416542	3.048745	22.61	16.013678	83.0	0.0	300.0	31904.0	0.08180512820512821	3.1639037	0.4149487	4.1260448	1.4665388	8.610597	2.5739155	27.252724	3.515117	1.0172526e-08	-0.010167762	1.0172526e-08	-0.0018425536	0.41210482	-0.050682604	29.657492	-4.025791	0	0	1.9155031	0.0	1.6602763	0.009168968	390000	1841.2626948356628
13	10.3153	1.7057048	15.816847	6.5603037	23.47	15.940172	64.0	0.0	300.0	34251.0	0.08155	3.318592	0.42516997	4.2225037	1.358036	8.473143	2.6437762	24.575953	4.0270953	1.0172526e-08	-0.0106427325	-3.6621095e-08	-0.0042388835	0.3786262	-0.053259403	29.942223	-3.7259102	0	0	1.8524039	0.0	1.6013731	0.009165892	420000	1978.5843451023102
14	10.886113	1.7010262	15.787523	3.4810314	24.7	14.167214	55.0	0.0	300.0	36721.0	0.08160222222222223	3.4658926	0.434512	4.4914184	1.6208129	8.392895	2.5558739	22.821987	3.8827913	4.0690105e-09	-0.010803312	5.722046e-09	-0.0010620756	0.35434484	-0.062969	28.456333	-3.3360748	0	0	1.8545327	0.0	1.540216	0.009220509	450000	2120.35480260849
15	11.366577	1.6498406	15.374587	6.208769	22.42	14.894415	66.0	0.0	300.0	38963.0	0.08117291666666666	3.677437	0.4373648	4.625591	1.6955472	8.738453	2.5994189	25.220785	3.7048619	2.0345052e-09	-0.009665407	-1.6276042e-08	0.0037668375	0.34688437	-0.04323882	24.79661	-3.7551212	0	0	2.078935	0.0	1.51918	0.009441329	480000	2259.0173885822296
16	11.484878	1.3897191	15.37814	7.6551595	21.23	13.689307	55.0	0.0	300.0	41086.0	0.08056078431372549	3.811953	0.4363437	4.671169	1.8571652	8.284432	2.620357	26.227482	4.185724	3.306071e-09	-0.008832846	8.138021e-09	-0.00021858317	0.27232406	-0.027977154	21.026796	-2.7187252	0	0	2.2266138	0.0	1.4648385	0.008694607	510000	2399.6993663311005
17	12.106067	1.4700699	16.945961	9.405673	23.64	15.347651	71.0	0.0	300.0	43450.0	0.08046296296296296	3.932013	0.40128848	4.703115	2.1442103	8.168114	2.7725105	25.557575	3.9633443	-2.0345052e-09	-0.008130835	-3.2552084e-08	0.0031659547	0.27559078	-0.044252247	25.971205	-2.6785355	0	0	2.4105146	0.0	1.4237837	0.009050535	540000	2546.9811260700226
18	12.206185	1.5451081	15.89524	7.779991	19.36	13.594499	64.0	0.0	300.0	45386.0	0.07962456140350878	4.0972276	0.4133101	4.8735075	2.2721252	8.192881	2.4766617	21.956202	3.7643363	-6.1035155e-09	-0.008697804	-2.6957194e-08	0.000707932	0.28238958	-0.022439212	21.439917	-2.9791508	0	0	2.3139954	0.0	1.3788787	0.00928124	570000	2683.0565645694733
19	12.263728	1.409442	16.05526	8.740123	20.73	13.557917	56.0	0.0	300.0	47459.0	0.07909833333333334	4.1384506	0.40033427	4.9340568	2.3757575	7.387135	2.3839102	22.006721	3.0748737	-1.2207031e-08	-0.010046013	6.205241e-08	-0.0040671974	0.25518203	-0.02267763	22.387262	-3.0085087	0	0	1.9726723	0.0	1.3371654	0.009024113	600000	2830.845901966095
20	12.721472	1.5070908	15.9322605	8.476712	20.64	13.978928	57.0	0.0	300.0	49523.0	0.0786079365079365	4.2193904	0.38989207	5.014057	2.4320016	7.436778	2.8884408	26.643333	1.7911639	2.0345052e-09	-0.008852932	5.6203206e-08	0.0008190376	0.29278973	-0.035410404	22.825712	-3.7707481	0	0	2.1066787	0.0	1.2779588	0.008830132	630000	2978.338887691498
21	13.070662	1.5488098	17.362785	10.348806	22.21	14.739264	84.0	0.0	300.0	51744.0	0.0784	4.3220015	0.4091467	5.0868554	2.030621	7.500309	2.6116512	24.099627	2.549969	1.11262e-08	-0.009202011	-3.2552084e-08	-0.0038909952	0.278768	-0.036784187	24.045906	-3.9502697	0	0	2.1204426	0.0	1.2295837	0.009405436	660000	3110.1978783607483
22	13.137732	1.5679888	17.137728	9.845148	20.41	14.771658	69.0	0.0	300.0	53785.0	0.07794927536231884	4.4222155	0.41203684	5.126182	2.511604	7.5319037	2.783115	27.896269	2.0970972	4.0690105e-09	-0.008022961	-8.138021e-09	0.0008208252	0.27362892	-0.022931099	24.542353	-3.4886284	0	0	2.4103394	0.0	1.1769121	0.009088452	690000	3259.2422592639923
23	13.159601	1.5743338	17.374092	9.697935	18.68	11.854012	52.0	0.0	300.0	55653.0	0.07729583333333333	4.459184	0.43176013	5.3536997	2.3001623	7.4449077	2.7352324	26.616373	2.3704069	-1.525879e-08	-0.008086385	2.6448568e-08	-0.001457317	0.27473435	-0.022662163	16.36106	-2.8914547	0	0	2.4293158	0.0	1.1537399	0.009460944	720000	3400.1877012252808
24	13.210316	1.554064	18.29543	9.298949	20.1	13.391416	72.0	0.0	300.0	57663.0	0.076884	4.4922585	0.40630347	5.1845975	2.5572572	7.0314093	2.400373	23.4263	1.1946295	1.0172526e-08	-0.007471953	1.2207031e-08	0.0019233602	0.24756396	-0.01882407	18.121187	-3.3747225	0	0	2.594806	0.0	1.111093	0.009478386	750000	3545.4616980552673
25	13.155426	1.334069	16.063156	9.617874	18.32	11.700325	58.0	0.0	300.0	59495.0	0.07627564102564102	4.4605947	0.40789792	5.308734	2.63574	6.9112425	2.6322117	25.33637	0.5031073	-1.3224284e-08	-0.0073926128	0.0	0.0033343923	0.23414283	-0.026760831	16.435352	-2.7113066	0	0	2.6559453	0.0	1.050267	0.009584283	780000	3687.294959783554
26	13.089159	1.4458027	18.320627	9.278351	17.31	12.086931	46.0	0.0	300.0	61226.0	0.07558765432098766	4.4958153	0.41094986	5.199213	2.2565668	6.708376	2.6198921	23.701082	1.0839206	0.0	-0.008190905	-2.6448568e-08	-0.00043356526	0.24112633	-0.020203412	16.195871	-2.8524857	0	0	2.4939833	0.0	1.0229042	0.009765881	810000	3821.5539076328278
27	13.455609	1.529862	17.811838	10.105488	18.5	13.236691	55.0	0.0	300.0	63076.0	0.0750904761904762	4.4713426	0.38548595	5.364912	2.6875978	6.3011103	2.399107	22.536863	1.1365569	-4.0690105e-09	-0.007126717	-8.138021e-09	-0.0024529276	0.24406649	-0.021064833	17.49894	-3.568221	0	0	2.8041475	0.0	0.9960114	0.009575808	840000	3967.90500664711
28	13.53042	1.6201192	18.42993	10.85444	19.68	12.720755	50.0	0.0	300.0	65044.0	0.0747632183908046	4.5387564	0.403909	5.4847937	2.595248	6.723403	2.6273577	21.828192	0.19045886	-8.138021e-09	-0.0072648237	-1.2207031e-08	0.0029783405	0.27278012	-0.025203332	18.79041	-4.27614	0	0	2.7741635	0.0	0.95157206	0.00970184	870000	4121.268617630005
29	13.479646	1.4338773	17.060802	10.367029	17.3	12.8386135	50.0	0.0	300.0	66774.0	0.07419333333333333	4.590213	0.39646208	5.4115024	2.5375888	6.8565145	2.558569	23.33125	0.7826274	4.0690105e-09	-0.007820239	-8.138021e-09	0.0030887614	0.25095722	-0.0221304	18.432362	-4.093808	0	0	2.5443873	0.0	0.9188188	0.009726312	900000	4246.771485090256
30	14.000522	1.5220419	17.982576	10.4846945	18.76	11.935762	55.0	0.0	300.0	68650.0	0.07381720430107527	4.5932198	0.39165887	5.448471	2.6191127	6.5212684	2.809548	23.89219	0.4850177	1.1698405e-08	-0.007535909	1.4241537e-08	0.0041844845	0.27612787	-0.04169178	15.885361	-3.3669815	0	0	2.5709863	0.0	0.9005265	0.009598352	930000	4403.9175934791565
31	13.960808	1.4847484	18.150728	10.056446	20.14	13.808707	61.0	0.0	300.0	70664.0	0.07360833333333333	4.710621	0.4208067	5.508839	2.655788	6.6180663	2.3733203	21.884592	1.3161308	9.155274e-09	-0.008036114	0.0	0.002304541	0.25195217	-0.021555811	18.886747	-4.195529	0	0	2.5139315	0.0	0.85993445	0.009454834	960000	4536.322269201279
32	13.763319	1.2191526	17.158085	10.690539	18.31	13.5378685	65.0	0.0	300.0	72495.0	0.07322727272727272	4.730746	0.40819126	5.489096	2.8453643	6.889424	2.5274925	23.004938	-0.043144993	-1.0172526e-08	-0.007702803	-2.4414062e-08	-0.0017577107	0.21683031	-0.023547798	17.80653	-4.450035	0	0	2.5985103	0.0	0.8440678	0.009389722	990000	4676.2363522052765
33	13.402793	1.2866293	17.195839	9.640397	17.43	12.950873	59.0	0.0	300.0	74238.0	0.07278235294117646	4.6930337	0.39675295	5.382749	2.727836	6.560071	2.446965	21.61975	0.833888	-2.2379558e-08	-0.007628013	3.9164224e-08	0.0013635316	0.21230014	-0.034311756	16.864002	-4.715823	0	0	2.589336	0.0	0.8235527	0.0095190285	1020000	4818.618618488312
34	13.826111	1.6669766	19.243168	10.428328	19.19	12.395721	55.0	0.0	300.0	76157.0	0.07253047619047619	4.5955343	0.3879357	5.3505645	2.544145	6.627792	2.9686055	25.956514	-1.0681487	8.138021e-09	-0.008259652	-3.6875406e-08	0.0036636998	0.26218712	-0.03146355	17.822119	-5.2852936	0	0	2.3617482	0.0	0.8221275	0.009521489	1050000	4965.474540472031
35	14.042441	1.4255543	19.570309	11.36262	16.95	13.553137	84.0	0.0	300.0	77852.0	0.07208518518518518	4.653719	0.42320532	5.495378	2.4532826	6.2637887	2.5226247	20.02296	-0.4562821	1.6276042e-08	-0.0058517037	-3.051758e-08	0.002443862	0.25007018	-0.028299958	18.518896	-5.6769915	0	0	2.6940258	1.0	0.7976229	0.0063663833	1080000	5106.858875274658
36	14.059059	1.2594308	19.04035	10.648308	18.47	10.565467	40.0	0.0	300.0	79699.0	0.0718009009009009	4.736878	0.4038774	5.476759	2.8978565	6.079061	2.7682817	26.327908	-0.36483532	4.577637e-09	-0.0074258316	-1.4241537e-08	-2.2180177e-05	0.19730078	-0.015437946	14.381779	-4.409358	0	0	2.627577	0.0	0.7708277	0.0097294375	1110000	5246.758575439453
37	13.997677	1.3777803	17.607672	11.2665615	18.23	13.876493	68.0	0.0	300.0	81522.0	0.07151052631578947	4.7376413	0.40435827	5.5686536	2.7825725	6.3746114	2.333738	21.655828	0.3751732	2.0345052e-09	-0.008139135	-1.4241537e-08	0.0005841034	0.22809502	-0.023576573	19.606144	-6.46515	0	0	2.4660687	0.0	0.7543802	0.009603106	1140000	5386.505724668503
38	14.035884	1.5146176	18.317661	11.056634	17.0	11.859174	55.0	0.0	300.0	83222.0	0.07112991452991453	4.7520003	0.40531895	5.567138	2.81804	6.3012953	2.7295063	27.57663	-0.015979752	-2.0345052e-09	-0.0074778544	-2.0345052e-09	-0.0009303691	0.2689307	-0.03233415	16.625082	-5.798723	0	0	2.6476345	0.0	0.72184426	0.009635937	1170000	5525.420638561249
