Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-1.8406605	2.590549	5.542101	-8.422362	15.29	13.847234	51.0	0.0	300.0	1529.0	0.05096666666666667	-0.4114252	0.08657513	0.11026209	-0.8398926	-0.037841044	0.09826052	0.45535797	-0.43264678	2.5431316e-08	0.038317766	-7.73112e-08	-0.005522894	1.8546362	-0.7780583	43.67755	-24.912062	0	0	1.0	1.837877	0.057346884	30000	164.51306748390198
1	-0.7524744	1.7609432	6.0183554	-4.9746013	24.01	28.666876	159.0	0.0	300.0	3930.0	0.0655	-0.6722002	0.8903309	1.7814813	-3.2075	5.289143	3.4515426	12.910463	-2.1830335	-2.6448568e-08	0.06286648	9.765625e-08	0.0004001831	0.8831338	-0.56410336	90.91438	-15.642914	0	0	1.0	1.838999	0.078779995	60000	329.7192063331604
2	-4.361369	3.4645104	4.458532	-12.197892	12.37	17.982021	93.0	0.0	300.0	5167.0	0.057411111111111114	-0.3941059	0.32367194	0.73284644	-1.8135852	3.5961845	5.2624507	21.253984	-2.3435438	-1.1698405e-08	0.0023117247	-4.0690105e-09	0.009958158	2.463076	-1.1520511	28.360277	-6.212591	0	0	1.0	1.8397791	0.019017786	90000	494.8225920200348
3	-1.2340966	2.6468968	4.2214813	-7.9578695	18.25	20.841484	91.0	0.0	300.0	6992.0	0.05826666666666667	-0.9875262	0.9965398	1.8406479	-4.9867845	5.3187428	5.6255383	23.638773	-2.4772563	2.2379558e-08	-0.0065766205	-2.2379558e-08	0.0034578694	1.0957007	-0.45685202	45.39885	-9.197041	0	0	1.0	1.8404908	0.0058468995	120000	658.6592652797699
4	-0.5107363	2.168473	4.4464087	-6.771825	24.83	29.029316	145.0	0.0	300.0	9475.0	0.06316666666666666	-0.45575827	0.6754668	1.3940854	-2.939321	7.066983	4.979914	24.371836	-1.1977576	1.8310548e-08	-0.0044531147	2.4414062e-08	0.00021624348	0.59625804	-0.1065425	89.64077	-13.142471	0	0	3.0	1.8411365	0.005146923	150000	827.5224552154541
5	0.053743638	1.6891639	3.576451	-6.2605314	27.51	35.76688	139.0	0.0	300.0	12226.0	0.06792222222222222	-0.22483362	0.51374847	1.27606	-2.2101278	8.351673	4.8474526	28.97552	-2.0555723	-1.3224284e-08	-0.012980238	-1.2207031e-08	0.008161544	0.45220363	-0.131758	125.65516	-29.582504	0	0	79.0	1.8417509	0.007907144	180000	1005.417839050293
6	1.3418951	1.8483666	6.791462	-3.3071187	30.29	34.552944	172.0	0.0	300.0	15255.0	0.07264285714285715	0.0022509487	0.32608697	1.0962731	-1.5264845	10.174764	6.0146127	40.25208	-1.39978	-1.6276042e-08	0.0010866069	-1.6276042e-08	-0.0005997884	0.43199962	-0.15464357	138.47765	-31.13234	0	0	2.0	1.8231914	0.0040920367	210000	1164.929857492447
7	1.2281262	1.6686907	6.4097805	-2.4003246	29.92	30.359077	141.0	0.0	300.0	18247.0	0.07602916666666666	0.32577297	0.2757753	1.4853656	-0.7621731	11.366203	5.305957	37.68987	-2.3046558	-5.086263e-09	-0.0039548664	-6.510417e-08	0.011232666	0.3210842	-0.07495344	112.32923	-24.659134	0	0	3.0	1.8226547	0.0043646973	240000	1352.9396653175354
8	1.6057531	1.5699724	6.226944	-1.619969	36.43	41.491505	188.0	0.0	300.0	21890.0	0.08107407407407408	0.42374268	0.33095324	1.6936913	-0.57279265	11.715271	6.030199	42.53037	-4.2089477	-2.8483074e-08	-0.0044537885	-4.8828124e-08	0.007068262	0.30659768	-0.042464375	168.59093	-45.561607	0	0	3.0	1.8215597	0.0015047201	270000	1524.5088956356049
9	2.0963457	1.9737852	8.465969	-1.7664374	36.72	37.57182	189.0	0.0	300.0	25562.0	0.08520666666666667	0.51347613	0.2913651	2.101607	-0.35991853	12.981448	6.5831094	48.193584	-5.9133525	0.0	-0.003820331	-3.2552084e-08	0.0043795086	0.37945285	-0.075971186	168.89073	-47.517464	0	0	1.0	1.8199543	0.0010650437	300000	1678.595474243164
10	2.517059	1.8614799	6.955859	-2.1430306	38.98	31.839594	125.0	0.0	300.0	29460.0	0.08927272727272727	0.6928506	0.407229	2.685074	-0.3065697	13.484727	6.1284084	49.051502	-6.948005	1.0172526e-08	-0.004037089	-7.5276695e-08	0.0038818624	0.36848527	-0.057812333	134.0267	-42.57702	0	0	1.0	1.8190355	0.0038600632	330000	1850.5813331604004
11	2.4371252	2.076389	7.9172783	-1.8847656	37.16	32.54588	112.0	0.0	300.0	33176.0	0.09215555555555556	0.7431407	0.401165	2.625562	-0.64881355	13.779089	6.864093	48.04382	-3.028439	2.339681e-08	-0.0022620736	8.5449216e-08	-0.0053483685	0.4584963	-0.12700272	128.2016	-40.9784	0	0	1.0	1.8180573	0.0026414641	360000	2027.6802167892456
12	2.624613	1.9188945	6.140907	-3.6261468	27.67	25.496689	108.0	0.0	300.0	35943.0	0.09216153846153846	0.9006931	0.45898554	2.9790728	-0.47017065	13.528526	5.8298507	41.780064	1.6074343	1.0172526e-08	-0.012344829	0.0	-0.010722314	0.36240923	-0.068112254	96.20762	-32.107384	0	0	79.0	1.8171613	0.007853199	390000	2211.6130170822144
13	3.8857064	1.8701727	9.070263	-1.3321128	31.78	25.30754	111.0	0.0	300.0	39121.0	0.0931452380952381	0.98223907	0.4551135	2.3861644	-0.5659015	11.722535	5.2409115	38.992416	0.5527315	2.6448568e-08	-0.010200022	1.6276042e-08	-0.012814046	0.468239	-0.114289016	80.56481	-20.341602	0	0	79.0	1.7978079	0.007863485	420000	2384.3580238819122
