CostLimit	Epoch	TotalEnvInteracts	worker/EpRet	worker/EpCost	worker/EpLen	learner/LossQ	learner/QVals0	learner/QVals1	learner/LossQC	learner/QCVals0	learner/QcThres	learner/LossPi	learner/LogPi	learner/Lagrangian	learner/LossActor	learner/QcPenalty	eval/TestEpRet	eval/TestEpLen	eval/TestEpCost	Time
2	0	1500	0.23754115	3.6	300.0	0.111226805	-1.153204	-1.1542263	0.035954356	-0.6385687	0.6339727	1.1572785	0.26082093	1.5280835e-05	1.1572976	-1.9025318e-05	4.2270575	204.6	35.15	83.60386347770691
2	1	2816	2.5545578	51.2	263.2	0.008426196	-1.0730046	-1.0730253	0.056000907	-0.4403662	0.6339727	1.077239	-0.03660109	2.604608e-05	1.0772657	-2.6796628e-05	0.19117486	259.5	16.8	174.97579669952393
2	2	3955	3.042322	31.2	227.8	0.008750934	-1.0511448	-1.0511621	0.053383943	-0.3649692	0.6339727	1.0555977	-0.66918033	3.0445273e-05	1.0556266	-2.8906266e-05	-0.85729945	300.0	2.45	270.3041055202484
2	3	5351	2.7186007	36.4	279.2	0.0074403617	-1.0322934	-1.0322305	0.058223553	-0.26154703	0.6339727	1.0349807	-0.8500382	3.2382424e-05	1.0350078	-2.715711e-05	-2.878491	276.65	8.75	355.2932062149048
2	4	6336	4.519554	38.4	197.0	0.011070324	-1.0040774	-1.0040582	0.0792141	-0.111796655	0.6339727	1.0078449	-0.85178155	4.0392955e-05	1.0078728	-2.781789e-05	1.4697406	270.6	18.35	446.2363817691803
2	5	7621	2.980538	17.0	257.0	0.008799536	-0.9833728	-0.98329526	0.07217721	-0.040110286	0.63397264	0.985183	-0.862317	3.3528308e-05	0.98520374	-2.0736981e-05	2.0149336	300.0	18.05	546.5398018360138
2	6	8927	4.420272	39.6	261.2	0.008723759	-0.9568867	-0.9569445	0.08511385	0.089820854	0.6339727	0.95657784	-0.8480361	4.019621e-05	0.9565972	-1.9316856e-05	0.115195654	235.95	31.3	623.8641972541809
2	7	9885	4.764674	33.6	191.6	0.010606056	-0.9234125	-0.923476	0.1067181	0.21783255	0.63397264	0.9235755	-0.80619895	4.8885096e-05	0.923592	-1.6479762e-05	3.8971245	244.15	31.0	712.0834138393402
2	8	11015	5.079604	21.2	226.0	0.010195202	-0.8967891	-0.89664656	0.10060728	0.31047875	0.63397264	0.8958539	-0.7023749	4.5563105e-05	0.8958649	-1.0967329e-05	4.3414865	198.75	15.9	798.4079675674438
2	9	11671	4.9927287	18.4	131.2	0.012573836	-0.8693281	-0.869439	0.12339706	0.43126583	0.63397264	0.86820066	-0.61967605	0.0002144732	0.8681942	6.2729723e-06	3.7038085	220.95	10.05	857.2959351539612
2	10	12523	5.127626	16.2	170.4	0.013301117	-0.84768075	-0.84784514	0.11756776	0.48270229	0.6339727	0.8470993	-0.57624215	0.00021915254	0.84709126	8.049221e-06	4.1435423	167.75	10.5	927.1701538562775
2	11	12925	5.093969	21.2	80.4	0.016181365	-0.8220256	-0.82140374	0.12514018	0.5422811	0.6339727	0.82094014	-0.43399546	0.0011608374	0.8208567	8.347633e-05	4.78605	109.3	17.8	970.8431458473206
2	12	13583	4.9208517	25.6	131.6	0.012537265	-0.804182	-0.80433226	0.13759075	0.60671645	0.63397264	0.80254894	-0.44156533	0.004793991	0.80185455	0.00069433305	4.608163	105.9	19.95	1018.3664190769196
2	13	13969	5.175474	18.6	77.2	0.01310161	-0.7813273	-0.78141975	0.15037684	0.6870895	0.6339727	0.7798333	-0.3544662	0.015543669	0.7777703	0.0020629852	5.0108185	102.35	14.3	1058.1663222312927
2	14	14335	5.145655	10.8	73.2	0.016358249	-0.76261127	-0.76254517	0.1510151	0.7212394	0.63397264	0.7599563	-0.29074663	0.030732403	0.75611097	0.0038454449	4.5197973	102.2	13.2	1094.7054133415222
2	15	14822	5.0710325	23.0	97.4	0.016732387	-0.7428433	-0.7430469	0.15445843	0.7718557	0.6339727	0.74969244	-0.31116673	0.057892486	0.7411482	0.00854431	3.6048229	211.45	21.05	1166.29212474823
2	16	15263	5.2328024	11.4	88.2	0.018666955	-0.71763724	-0.71730644	0.16030782	0.79649425	0.6339727	0.73206717	-0.30809197	0.09004167	0.7189265	0.013140634	4.641371	117.85	19.95	1211.7585747241974
2	17	15625	5.409299	15.0	72.4	0.017722176	-0.6983688	-0.6981561	0.15954663	0.8226495	0.6339727	0.7155381	-0.19598727	0.11809865	0.6964818	0.01905631	3.7665436	197.3	15.75	1277.3664655685425
2	18	16138	5.002815	29.0	102.6	0.013585409	-0.67921364	-0.67931616	0.16528736	0.8708056	0.63397264	0.7097541	-0.14856036	0.15905651	0.67941916	0.030334946	4.1387997	177.85	25.45	1330.751357793808
2	19	16811	4.309434	21.0	134.6	0.017918829	-0.6631996	-0.6630631	0.16706993	0.87024015	0.6339727	0.70387477	-0.0901438	0.20872031	0.66794163	0.035933256	4.503537	124.2	22.25	1376.9510169029236
2	20	17252	5.1964097	15.0	88.2	0.016622396	-0.64327395	-0.6432487	0.15536371	0.8692788	0.6339727	0.6876505	-0.006456832	0.25215715	0.6482359	0.039414644	4.7411833	116.2	16.65	1432.530817270279
2	21	17947	4.4321337	17.0	139.0	0.013839528	-0.62803286	-0.6279827	0.14549647	0.8573467	0.6339727	0.67008835	0.08999587	0.2842345	0.63602895	0.034059394	4.3725863	137.45	21.5	1491.8348484039307
2	22	18531	4.8626084	24.2	116.8	0.012870455	-0.60955566	-0.60971636	0.14220592	0.85461515	0.6339727	0.65445554	0.1809106	0.31960145	0.61871856	0.03573702	2.570559	224.05	36.7	1557.9008574485779
2	23	19768	3.8715415	32.8	247.4	0.016116198	-0.58671314	-0.5868372	0.13888243	0.84545046	0.6339727	0.6364507	0.23023857	0.36473364	0.60039765	0.03605308	4.5096145	139.15	19.35	1615.887555360794
2	24	20494	4.9707384	19.6	145.2	0.015696244	-0.55901545	-0.5587094	0.13550039	0.8557822	0.63397276	0.6144102	0.3519817	0.41186485	0.5747448	0.03966547	2.9551632	211.85	14.85	1700.5371408462524
